Date,Open,High,Low,Close,Volume
22-Apr-13,491.7,499.8,489,494.8,8000
1-May-13,519.55,519.55,519.55,519.55,zero
10-May-13,530,531.9,522.15,527.15,8400
21-May-13,664.45,679.4,650,659.65,230200
3-Jun-13,635,660,632.05,643.65,47900
13-Jun-13,599,609,588,592.4,12500
24-Jun-13,607,609,581.2,582.45,12900
1-Jul-13,611.5,432,611,621.35,18700
11-Jul-13,593,619,591.5,594.1,5400
22-Jul-13,573,587.45,573,579.85,9700
1-Aug-13,507,517,486.25,492.45,5200
12-Aug-13,498,519,480.05,497.1,19600
21-Aug-13,471,479,465,466.15,4700
2-Sep-13,455,457.4,450.9,453.9,5300
12-Sep-13,573.9,573.9,546.5,550.35,27000
23-Sep-13,559,568.8,550.15,556.9,12200
1-Oct-13,546.7,563.7,538.35,NA,20000
11-Oct-13,548,567,546,560.85,59400
21-Oct-13,558,590.05,552.85,579.05,44700
1-Nov-13,630,636.65,621.05,628.25,18900
11-Nov-13,614.55,615.45,601.1,603.95,13700
21-Nov-13,597,610,593,595.5,8400
2-Dec-13,672,686.9,642.8,673.25,28500
12-Dec-13,675,697,670,687.6,26600
23-Dec-13,669.9,688,669.9,674.3,19700
1-Jan-14,693,697.8,683,684.25,16700
10-Jan-14,663.7,671,650,653.2,13600
21-Jan-14,637,650,635,638.05,16500
3-Feb-14,580.6,610,570,576.9,10500
13-Feb-14,585,591.6,572,574.05,8200
24-Feb-14,680.25,687.4,675.1,679.35,33300
3-Mar-14,716.9,732.95,710.05,720.05,99900
13-Mar-14,793,822.4,787.8,818.55,135800
24-Mar-14,786,801.6,785,798.2,48400
1-Apr-14,857.1,863.3,844.5,847.1,49800
11-Apr-14,836,838,819.05,825,12000
21-Apr-14,845.25,846.85,NA,833.75,12800
1-May-14,1800.45,840.45,840.45,840.45,zero
12-May-14,833,922.7,830,880.25,131900
21-May-14,930,981.6,926.1,934.6,52700
2-Jun-14,920,938.1,910,926.65,16700
12-Jun-14,1013.3,1013.3,991.15,1001.15,8400
23-Jun-14,1037.45,1057.9,1021.15,1043.7,15600
1-Jul-14,1120.05,1166,1120.05,1147.85,38600
11-Jul-14,1064.45,1074.35,1035.6,1047.55,5500
21-Jul-14,1099,1106.7,1088.05,NA,4700
1-Aug-14,1035,1040,NA,1029,3200
11-Aug-14,1015.55,1027,1004.1,1008.05,3100
21-Aug-14,1019.5,1033.05,1005,1011.2,12500
1-Sep-14,990,1123.9,980.25,1083.15,93300
11-Sep-14,1144,NA,1142,1148.65,8400
22-Sep-14,1228,1263.5,1215.6,1236.35,25300
1-Oct-14,1160,1169.8,1112.2,1115.85,11700
10-Oct-14,1080,1080,1050,1054.45,4800
21-Oct-14,1039.4,1069,1036.35,1062.45,10600
3-Nov-14,1168.75,1177.15,1136.95,1147.05,12100
13-Nov-14,1105,1120,1090,1092.65,5100
24-Nov-14,1101.05,1128,1101.05,1116.8,8500
1-Dec-14,1110.8,1124,1091.05,1118.45,6100
11-Dec-14,1235.55,1250,1210,1222.3,10400
22-Dec-14,1165,1176.55,1150,1166.55,5200
1-Jan-15,1285,NA,1272,1299.85,18100
12-Jan-15,1270,1280,1258.25,1266.7,4800
21-Jan-15,1285.55,1290.4,1266.9,1270.95,3900
2-Feb-15,1291,1291,1257,1261.55,7600
12-Feb-15,1366.5,1376,1341.25,1359.5,9100
23-Feb-15,1415.05,1445,1405.1,1414.85,11300
2-Mar-15,1414.6,1421,1394,1402,11500
12-Mar-15,1328.05,1336,1307.2,1318.75,10100
23-Mar-15,1267.1,1275.05,1234.05,1244.45,9000
1-Apr-15,1264.5,1281,1264.5,1275.85,4900
10-Apr-15,1355.5,1375.95,1340,1353.55,7400
21-Apr-15,1322.9,1378.9,1297.7,1362.5,12700
1-May-15,2291.95,1331.95,1331.95,1331.95,zero
11-May-15,1370.4,1376.4,1328,1333.85,5900
21-May-15,1348.3,1354.3,1333,1339.6,4900
1-Jun-15,1330,1344.95,1313,1329.55,2900
11-Jun-15,1296.65,1315.15,1261,1267.55,3900
22-Jun-15,1337.15,1345,1325,1334.1,6000
1-Jul-15,1325.2,1338.05,1325,1330.2,3300
10-Jul-15,1402.75,439,1364.95,1372.3,4600
21-Jul-15,1395.5,1432.8,1382,1390.4,5800
3-Aug-15,1386.7,1392,1367,NA,3900
13-Aug-15,1340.95,1375.25,1284.2,1286.45,6800
24-Aug-15,1270,1274.9,1155,1178.85,10100
1-Sep-15,1224.65,1232.3,1182.6,1195.35,2600
11-Sep-15,1165.55,1180,NA,1153.3,3400
21-Sep-15,1123.3,1135,1107,1110.9,2800
1-Oct-15,1066.95,1071.95,1045,1051.3,4500
12-Oct-15,1131.15,1131.15,1097.1,1104.45,2900
22-Oct-15,1237.75,1237.75,1237.75,1237.75,zero
2-Nov-15,1255,1285,1239.6,1273.3,10100
12-Nov-15,1201.7,1201.7,1201.7,1201.7,zero
23-Nov-15,1174,1180.8,1170.05,1174.7,2800
1-Dec-15,1180,NA,1174.8,1176.95,3900
11-Dec-15,1131.8,1139,1105.3,1109.75,3700
21-Dec-15,1148,1155.8,1129.6,1141.55,7700
1-Jan-16,1122.35,1123.3,1114,1117.5,1400
11-Jan-16,1055,1055,1001,1006.85,12100
21-Jan-16,1007.45,1014.15,963.05,968.75,3400
1-Feb-16,976,1025,975,997.7,7800
12-Feb-16,1090.55,1106.65,1030,1042.5,14600
22-Feb-16,1102.5,1112,1093.45,1106.15,5700
1-Mar-16,1028,1048.25,1014.25,1031,12400
11-Mar-16,1155.05,1175.15,1142,1147.3,6100
21-Mar-16,1159.95,NA,1149.4,1174.65,4800
1-Apr-16,1272,1312,1264,1291.25,14900
11-Apr-16,1350,1432.7,1325,1381.9,24900
21-Apr-16,1334,1338.15,1325.05,1330.85,4800
2-May-16,1290,1299.7,1262.3,1267.5,5500
12-May-16,1280,366.2,1275,1281.1,4200
23-May-16,1210,1229,1208.95,1216.4,3700
1-Jun-16,1240,1244,1218.45,1229.8,4600
10-Jun-16,1208.15,1229,1206.1,1210.15,4800
21-Jun-16,1230,1240,1215,1232,4400
1-Jul-16,1225.2,1240,1216.2,1223.85,7000
11-Jul-16,1265.5,1287,NA,1276.4,11800
21-Jul-16,1301,1322.1,1261,1270.55,36800
1-Aug-16,1279.65,NA,1247.4,1250.65,4600
11-Aug-16,1180.05,683,1171.15,1191.35,4800
22-Aug-16,1168.2,1168.2,1148.4,1155.55,2600
