,Cbal,Cdur,Chist,Camt,Sbal,InRate,Oparties,age,inPlans,NumCred,Ndepend,Cpur_domestic,Cpur_education,Cpur_electronics,Cpur_miscellaneous,Cpur_vehicle,Edur_4 to 7 years,Edur_less than 1 year,Edur_more than 7 years,Edur_not employed,Htype_own,Htype_pays rent,JobType_employee with official position,JobType_non resident either unemployed or  unskilled ,JobType_resident unskilled,0
958,1,24,0,125670,500,4,0,44,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
665,0,6,-1,2380,10000,2,0,41,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
796,0,10,0,8820,0,4,0,40,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,
427,0,24,0,37450,500,4,1,62,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
885,1,48,0,83460,7500,1,0,30,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
895,-1,24,-1,12190,10000,4,0,57,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,
121,1,36,0,44430,500,2,0,30,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
270,-1,24,-1,66030,500,2,0,75,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
10,0,36,0,81210,500,1,0,30,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
839,-1,18,0,41410,500,2,1,42,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
823,0,18,-1,10860,500,4,0,65,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,
445,0,10,0,12970,0,4,1,27,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
529,-1,12,-1,22340,500,3,0,60,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,
65,-1,12,-1,21090,500,4,0,30,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
358,0,21,0,27700,7500,1,0,31,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
631,1,15,0,26190,3000,3,0,25,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
988,0,11,-1,72160,500,1,0,39,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
92,2,36,0,58360,500,4,0,24,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
30,0,12,-1,6060,500,4,0,56,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0
73,0,18,0,19720,500,4,0,47,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
447,1,15,0,68380,3000,1,0,34,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
293,-1,12,0,61870,500,4,0,28,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.0
726,0,22,0,26630,7500,3,0,40,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
429,0,6,0,35060,500,2,1,26,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
791,0,24,-1,40300,0,3,0,43,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
595,-1,14,0,39610,500,1,0,22,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,
924,0,24,-1,20160,500,2,0,30,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,
928,-1,24,0,65670,500,4,0,29,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
985,0,11,-1,13810,500,4,0,35,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,
406,-1,24,0,16470,500,4,0,29,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,
620,0,6,0,15260,500,1,0,56,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
400,-1,36,0,36080,500,1,1,37,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
227,1,48,0,75700,3000,2,0,31,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0
661,1,6,0,4210,10000,4,0,24,1,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,
546,0,24,-1,45140,500,3,0,74,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
239,1,21,-1,27330,10000,3,0,32,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
682,0,21,0,31480,0,4,0,41,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
793,-1,18,0,14300,500,4,0,32,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,
91,0,10,0,19120,500,1,0,38,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
781,0,21,0,29810,500,3,0,28,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
175,-1,24,0,18110,500,4,0,30,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0
194,1,9,0,20180,0,2,0,24,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
439,2,6,-1,13110,3000,2,0,28,0,2,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
579,-1,42,0,43580,500,3,0,26,1,2,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,
192,1,30,0,21380,500,4,1,24,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
499,1,18,-1,19160,500,2,0,31,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,
145,-1,30,-1,106110,500,3,0,38,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0
932,-1,18,0,19240,0,2,0,23,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,
563,-1,12,0,18460,500,4,0,22,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
523,1,36,0,23720,500,4,0,33,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,
144,0,12,-1,14830,500,4,0,38,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1.0
536,-1,24,0,14300,500,4,0,23,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,
86,-1,6,-1,8480,500,1,0,39,0,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1.0
328,1,15,-1,23140,7500,2,0,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
724,1,20,0,64560,0,1,0,60,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
101,0,18,-1,10430,500,4,0,30,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.0
822,1,30,-1,21690,0,4,0,36,0,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
39,1,20,0,70450,0,3,0,36,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0
339,0,24,-1,15040,10000,4,0,43,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
883,0,4,-1,14430,500,2,0,42,0,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,
810,0,36,0,76660,7500,2,0,40,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
639,2,15,0,18930,500,4,0,40,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
136,0,6,-1,13700,500,1,0,28,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
80,2,6,0,6970,10000,2,0,27,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1.0
126,1,9,0,51170,500,2,0,74,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
118,0,12,0,19510,500,4,0,31,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.0
838,0,15,0,21740,0,1,0,33,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,
464,1,18,0,11010,500,4,1,26,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
859,-1,24,0,33330,500,4,0,39,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,
391,0,6,0,5060,500,3,0,29,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
95,-1,12,0,12700,500,2,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0
919,1,15,0,12520,3000,2,0,25,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
775,-1,12,0,10700,500,4,0,48,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
269,1,6,0,10560,500,4,0,28,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.0
108,0,24,0,39600,500,2,0,25,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1.0
189,0,18,0,4210,500,3,1,22,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1.0
667,-1,18,0,18700,500,4,0,25,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,
898,-1,28,0,39940,500,3,0,45,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
124,1,18,-1,8720,500,4,0,36,1,1,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1.0
287,1,24,0,37460,7500,1,0,23,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1.0
321,1,18,0,129640,500,3,0,38,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
41,1,36,0,23110,500,4,0,24,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0.0
409,0,24,0,46670,500,3,0,35,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,
5,0,27,0,51780,0,4,0,48,0,4,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0
64,1,18,0,19120,0,4,0,27,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1.0
216,0,18,-1,23920,500,2,0,26,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
45,1,24,-1,119260,500,2,1,39,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0
235,1,48,0,99480,500,1,0,26,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1.0
997,0,36,-1,95540,500,2,0,31,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
3,1,48,0,144090,500,2,0,25,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
534,-1,24,0,13460,0,4,0,40,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,
806,-1,18,0,23770,500,4,0,27,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,
450,-1,12,0,7470,500,4,0,26,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
676,1,24,0,115480,500,1,0,23,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
565,0,15,0,19670,0,4,0,35,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
614,0,21,0,25680,7500,4,0,41,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,
741,1,18,-1,17830,500,3,1,48,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,
336,-1,12,0,25660,500,3,0,55,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
452,2,15,0,26750,500,2,0,26,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,
468,-1,36,0,22900,500,4,0,31,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,
521,1,12,-1,31120,500,1,0,49,1,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
304,-1,18,0,24610,500,4,0,25,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,
721,0,24,-1,19280,10000,4,0,60,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
333,-1,6,-1,19450,500,1,0,31,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,
290,0,9,0,12240,500,1,0,23,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0
526,-1,9,-1,27870,500,2,0,36,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
164,0,15,0,46450,500,3,0,30,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
782,0,18,0,19310,500,4,0,23,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
575,0,12,0,13810,500,4,0,47,1,3,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,
992,0,12,0,12500,500,3,0,25,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
713,0,24,-1,22110,3000,4,0,52,1,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
78,1,15,-1,27160,0,4,1,35,1,3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1.0
109,1,24,-1,19230,500,4,0,31,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0
201,-1,24,0,15910,500,4,0,55,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0
465,1,26,0,79540,500,2,0,30,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
143,-1,12,0,8900,500,4,0,21,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.0
905,1,30,0,17030,0,4,0,26,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
206,0,36,-1,62920,0,4,0,36,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0
263,-1,18,0,26470,10000,4,0,28,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
330,0,18,0,18080,500,2,0,30,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
102,0,15,0,12500,7500,4,0,36,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
771,-1,18,0,12040,500,4,0,23,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,
46,0,18,0,64460,500,2,0,39,1,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.0
4,0,24,0,31690,500,4,0,26,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
767,0,18,0,41530,500,2,0,36,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
123,0,24,-1,37650,10000,4,0,50,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
491,0,6,0,17380,7500,2,0,45,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,
211,0,12,-1,13900,7500,3,0,37,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1.0
362,1,12,-1,9460,500,2,0,47,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,
808,0,36,0,73970,0,3,0,37,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,
440,-1,24,0,31110,500,4,0,27,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
232,-1,24,-1,64070,500,2,0,44,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
757,0,6,-1,15420,500,1,0,24,0,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,
478,-1,48,0,77510,500,4,0,42,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
628,0,9,0,27410,3000,3,1,35,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
921,0,48,0,48320,500,3,0,33,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
902,0,15,0,35440,0,3,0,29,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
869,-1,12,0,13320,500,4,0,43,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
567,1,9,0,14250,3000,2,0,29,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
214,-1,30,0,119860,500,1,0,34,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1.0
472,0,12,0,14910,500,4,0,41,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
137,1,12,0,9390,3000,4,0,27,1,4,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1.0
799,0,9,0,35650,3000,1,1,26,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
984,-1,48,-1,61310,500,4,0,58,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,
111,0,12,0,7510,500,4,0,26,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
415,-1,18,0,31020,500,1,0,26,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
842,0,36,-1,104650,0,2,0,42,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
16,-1,42,0,39530,500,4,0,34,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0
846,-1,21,0,37510,0,2,1,24,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,
134,1,45,0,30190,3000,4,1,21,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.0
868,0,30,0,18550,0,4,0,58,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
651,-1,6,0,11860,500,4,0,35,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
694,0,12,0,15430,10000,4,0,55,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
190,-1,6,-1,6540,10000,3,0,39,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1.0
