,price,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
45,3400,station wagon,automatic,163,a4,150000,diesel,audi,no,16.92
47,550,limousine,manual,75,golf,150000,petrol,volkswagen,no,21.5
48,17499,cabrio,manual,184,clk,60000,petrol,mercedes_benz,no,11.83
50,6190,limousine,automatic,163,c_klasse,150000,petrol,mercedes_benz,no,14.67
51,11300,limousine,manual,200,golf,90000,petrol,volkswagen,no,12.67
52,17500,cabrio,automatic,160,golf,50000,petrol,volkswagen,no,7.67
53,600,limousine,manual,136,e_klasse,150000,petrol,mercedes_benz,no,20.17
55,2500,station wagon,manual,125,forester,150000,petrol,subaru,no,13.42
57,3500,station wagon,automatic,198,5er,150000,diesel,bmw,yes,16.83
58,1350,limousine,manual,101,golf,150000,petrol,volkswagen,yes,19.33
59,1950,station wagon,manual,75,golf,150000,petrol,volkswagen,no,16.75
61,2000,station wagon,manual,101,astra,150000,petrol,opel,no,20.0
63,2200,coupe,manual,192,astra,150000,petrol,opel,no,17.17
64,3499,coupe,manual,170,3er,150000,petrol,bmw,no,19.92
65,4800,limousine,manual,102,golf,150000,petrol,volkswagen,no,12.92
66,1350,bus,manual,128,others,150000,diesel,citroen,no,15.33
70,22800,suv,automatic,241,grand,150000,diesel,jeep,no,7.5
72,1550,bus,automatic,158,voyager,150000,petrol,chrysler,no,20.83
73,2500,limousine,manual,64,polo,150000,petrol,volkswagen,no,15.33
76,9450,small car,manual,120,fiesta,50000,petrol,ford,no,8.75
77,2550,small car,manual,88,clio,150000,petrol,renault,no,12.08
79,11800,station wagon,automatic,140,a3,150000,diesel,audi,no,8.08
80,3980,small car,manual,64,polo,150000,petrol,volkswagen,no,9.08
81,4900,cabrio,automatic,193,slk,150000,petrol,mercedes_benz,no,21.67
82,7300,small car,automatic,95,others,60000,petrol,alfa_romeo,no,9.83
87,3900,station wagon,manual,193,passat,150000,petrol,volkswagen,no,17.83
88,1990,small car,manual,65,micra,125000,petrol,nissan,no,15.92
90,500,limousine,manual,90,golf,150000,petrol,volkswagen,no,21.42
92,3900,station wagon,automatic,148,c_klasse,150000,petrol,mercedes_benz,no,15.92
95,5500,suv,manual,204,x_reihe,150000,diesel,bmw,no,14.33
96,16000,suv,automatic,235,x_reihe,150000,diesel,bmw,no,11.58
98,1200,limousine,manual,136,c_klasse,100000,petrol,mercedes_benz,no,24.25
99,7000,limousine,automatic,150,3er,150000,diesel,bmw,no,14.75
100,15000,station wagon,manual,143,3er,150000,diesel,bmw,no,10.42
101,1590,small car,manual,60,fabia,150000,petrol,skoda,no,17.75
104,13999,station wagon,manual,184,3er,150000,diesel,bmw,no,8.75
106,4400,others,manual,104,logan,90000,petrol,dacia,no,9.33
107,9000,cabrio,manual,69,500,30000,petrol,fiat,no,7.92
108,450,small car,automatic,75,punto,150000,petrol,fiat,no,18.67
109,1650,bus,manual,90,berlingo,150000,diesel,citroen,no,15.75
110,6599,suv,automatic,218,others,150000,diesel,jeep,no,13.0
111,7499,limousine,automatic,231,s_klasse,125000,petrol,mercedes_benz,no,21.58
112,4000,coupe,manual,193,3er,150000,petrol,bmw,no,18.17
114,3000,limousine,manual,131,passat,150000,diesel,volkswagen,no,16.17
115,1799,small car,manual,60,2_reihe,150000,petrol,peugeot,no,19.17
116,12950,bus,manual,175,galaxy,125000,diesel,ford,no,9.75
118,21500,limousine,automatic,231,c_klasse,70000,petrol,mercedes_benz,no,8.08
119,1000,small car,manual,58,agila,150000,petrol,opel,no,15.75
120,3500,bus,manual,116,touran,150000,petrol,volkswagen,no,15.75
121,5490,limousine,automatic,105,golf,125000,diesel,volkswagen,no,12.42
122,27950,limousine,automatic,231,e_klasse,150000,diesel,mercedes_benz,no,9.58
126,6200,suv,manual,136,captiva,150000,petrol,chevrolet,no,9.58
127,1150,small car,manual,60,polo,150000,diesel,volkswagen,no,20.58
129,750,bus,automatic,139,scenic,125000,petrol,renault,no,19.75
130,150,station wagon,manual,115,mondeo,150000,petrol,ford,yes,20.0
134,7800,station wagon,manual,160,a3,80000,petrol,audi,yes,7.25
137,3199,limousine,manual,69,fiesta,150000,petrol,ford,no,10.08
138,100,station wagon,automatic,170,omega,150000,petrol,opel,yes,22.0
139,500,limousine,automatic,150,a6,150000,petrol,audi,yes,23.33
140,1950,small car,automatic,54,fortwo,125000,petrol,smart,no,18.75
143,12600,coupe,manual,122,scirocco,50000,petrol,volkswagen,no,6.17
144,800,bus,manual,60,transporter,150000,diesel,volkswagen,no,24.83
145,13500,limousine,manual,105,golf,150000,diesel,volkswagen,no,6.25
146,4950,bus,manual,105,touran,150000,diesel,volkswagen,no,14.83
147,2600,coupe,manual,109,c4,150000,petrol,citroen,no,12.58
148,5400,limousine,manual,150,3er,150000,diesel,bmw,no,16.33
149,18999,bus,manual,131,transporter,150000,diesel,volkswagen,no,11.42
151,8000,limousine,manual,141,qashqai,125000,petrol,nissan,no,11.33
152,199,small car,manual,60,ka,150000,petrol,ford,yes,17.17
153,17777,station wagon,manual,184,clubman,40000,petrol,mini,no,6.25
154,4950,bus,manual,115,sharan,150000,diesel,volkswagen,no,15.92
155,3100,suv,manual,124,others,150000,petrol,ford,no,15.17
157,7777,small car,manual,18,500,10000,petrol,fiat,no,46.25
158,3990,station wagon,manual,143,3er,150000,petrol,bmw,no,14.33
161,2399,limousine,manual,111,scenic,150000,petrol,renault,no,13.75
162,8200,limousine,manual,250,others,70000,petrol,saab,no,14.83
163,14999,cabrio,manual,177,1er,150000,diesel,bmw,no,10.33
165,15900,limousine,automatic,116,a_klasse,40000,petrol,mercedes_benz,no,8.0
167,7500,limousine,automatic,160,insignia,40000,diesel,opel,no,7.83
168,600,small car,manual,75,clio,150000,petrol,renault,no,19.08
169,41900,limousine,automatic,310,others,40000,petrol,audi,no,4.25
170,5900,limousine,automatic,184,7er,150000,diesel,bmw,no,19.83
171,2500,small car,manual,86,clio,150000,diesel,renault,no,12.33
173,1750,station wagon,manual,101,golf,150000,diesel,volkswagen,no,14.92
175,15600,limousine,manual,86,golf,20000,petrol,volkswagen,no,3.17
176,11300,bus,manual,111,3_reihe,70000,diesel,peugeot,no,6.17
178,8500,limousine,manual,218,3er,150000,petrol,bmw,yes,14.0
179,1050,small car,manual,80,punto,150000,petrol,fiat,no,17.58
182,850,limousine,manual,75,megane,150000,petrol,renault,no,20.25
183,1000,small car,manual,50,clio,150000,petrol,renault,no,19.5
185,1290,limousine,manual,125,a4,150000,petrol,audi,no,22.08
186,1999,station wagon,manual,125,passat,150000,petrol,volkswagen,no,20.5
188,5600,small car,manual,160,ibiza,150000,diesel,seat,no,12.5
189,2699,small car,manual,101,corsa,150000,diesel,opel,no,14.75
191,3999,limousine,automatic,150,passat,150000,petrol,volkswagen,yes,12.92
192,11500,station wagon,automatic,224,a6,150000,diesel,audi,no,13.75
193,550,small car,manual,65,corsa,150000,petrol,opel,yes,18.33
195,2500,small car,manual,58,corsa,125000,petrol,opel,no,15.42
196,4500,limousine,manual,116,1er,150000,petrol,bmw,yes,13.67
197,800,bus,manual,150,voyager,150000,petrol,chrysler,no,21.5
198,7500,station wagon,manual,150,a4,125000,petrol,audi,no,16.08
199,2200,coupe,manual,90,others,150000,petrol,toyota,no,22.42
200,300,limousine,manual,102,3er,150000,petrol,bmw,no,23.5
201,1390,small car,manual,60,arosa,150000,diesel,seat,no,16.08
203,13500,station wagon,automatic,140,passat,100000,diesel,volkswagen,no,7.25
206,1550,station wagon,manual,116,a4,150000,diesel,audi,no,17.33
207,5100,small car,manual,60,fiesta,100000,petrol,ford,no,9.42
208,13800,cabrio,automatic,231,z_reihe,70000,petrol,bmw,no,15.33
209,2450,bus,manual,69,transporter,150000,diesel,volkswagen,no,29.92
212,7999,station wagon,automatic,122,c_klasse,150000,diesel,mercedes_benz,no,10.17
213,29990,limousine,automatic,204,e_klasse,50000,diesel,mercedes_benz,no,5.92
214,4650,station wagon,manual,177,e_klasse,150000,diesel,mercedes_benz,yes,15.83
215,11990,station wagon,manual,86,caddy,60000,petrol,volkswagen,no,7.5
217,10000,bus,manual,174,transporter,150000,diesel,volkswagen,no,14.17
220,2799,small car,manual,68,aygo,125000,petrol,toyota,yes,12.33
221,799,small car,manual,65,matiz,90000,petrol,chevrolet,yes,10.67
222,2800,limousine,automatic,125,a4,90000,petrol,audi,no,22.92
225,875,station wagon,manual,116,focus,150000,petrol,ford,no,18.42
227,34000,cabrio,automatic,387,sl,50000,petrol,mercedes_benz,no,12.5
228,950,small car,manual,50,arosa,150000,petrol,seat,no,17.67
229,3650,station wagon,manual,65,clio,125000,diesel,renault,no,10.67
230,1699,station wagon,manual,102,megane,100000,diesel,renault,no,17.33
232,2450,limousine,manual,170,3er,150000,petrol,bmw,no,21.0
233,1250,small car,manual,50,arosa,125000,petrol,seat,no,16.92
234,7450,station wagon,manual,140,a4,150000,diesel,audi,no,13.0
236,999,others,manual,60,combo,150000,petrol,opel,no,19.83
237,1999,limousine,manual,88,corolla,40000,petrol,toyota,no,24.75
238,4500,small car,manual,80,corsa,70000,petrol,opel,no,12.67
241,6990,small car,manual,60,fiesta,40000,petrol,ford,no,7.5
243,999,limousine,manual,107,scenic,150000,petrol,renault,no,19.75
245,3000,limousine,automatic,306,s_klasse,150000,petrol,mercedes_benz,no,19.83
246,1650,limousine,automatic,75,a_klasse,150000,petrol,mercedes_benz,no,17.08
247,11999,limousine,manual,120,a4,100000,petrol,audi,no,8.25
249,2990,small car,manual,60,polo,100000,petrol,volkswagen,no,18.75
250,7300,small car,manual,84,others,80000,petrol,mazda,no,6.25
251,15900,limousine,manual,265,others,150000,petrol,audi,no,11.75
252,999,small car,automatic,41,fortwo,150000,diesel,smart,no,18.0
254,1600,small car,manual,26,601,90000,petrol,trabant,no,30.67
255,2200,cabrio,manual,75,golf,150000,petrol,volkswagen,no,19.42
256,5700,station wagon,manual,105,caddy,150000,diesel,volkswagen,no,11.42
258,3400,coupe,manual,143,others,150000,petrol,toyota,no,18.42
260,9400,limousine,automatic,170,5er,50000,petrol,bmw,no,15.75
261,8450,cabrio,automatic,197,clk,150000,petrol,mercedes_benz,no,15.33
262,4400,station wagon,manual,75,fabia,80000,petrol,skoda,no,11.42
263,10900,cabrio,manual,220,c_reihe,150000,petrol,volvo,no,12.75
264,32000,coupe,automatic,306,3er,60000,petrol,bmw,no,7.25
265,6250,cabrio,automatic,197,clk,150000,petrol,mercedes_benz,no,17.42
266,1800,small car,manual,76,others,70000,petrol,suzuki,no,18.58
267,1000,limousine,manual,101,golf,150000,petrol,volkswagen,no,20.83
268,850,small car,manual,68,yaris,150000,petrol,toyota,no,18.5
270,2500,small car,manual,60,fiesta,40000,petrol,ford,yes,15.0
272,18250,limousine,manual,160,beetle,30000,petrol,volkswagen,no,6.33
273,5000,small car,manual,150,tigra,100000,petrol,opel,no,21.75
275,1150,small car,manual,58,twingo,150000,petrol,renault,no,15.83
278,2790,limousine,manual,116,passat,150000,petrol,volkswagen,no,16.83
279,3800,small car,manual,125,transporter,150000,diesel,volkswagen,no,16.08
280,1100,small car,manual,58,others,150000,petrol,hyundai,no,16.25
284,5750,small car,manual,80,polo,150000,petrol,volkswagen,no,11.58
286,6499,small car,manual,86,ibiza,90000,petrol,seat,no,10.0
287,16500,limousine,automatic,150,5er,150000,diesel,bmw,no,8.92
288,23499,suv,manual,110,tiguan,30000,diesel,volkswagen,no,4.67
289,3800,cabrio,manual,136,2_reihe,150000,petrol,peugeot,no,16.67
290,10950,limousine,manual,170,3er,150000,petrol,bmw,no,10.17
291,15450,limousine,manual,150,qashqai,30000,diesel,nissan,no,7.83
292,8750,cabrio,manual,116,cooper,150000,petrol,mini,no,12.83
293,2700,bus,manual,140,s_max,150000,diesel,ford,yes,11.17
294,3450,limousine,manual,105,toledo,150000,petrol,seat,no,16.08
295,9990,bus,manual,131,transporter,150000,diesel,volkswagen,no,13.33
296,600,limousine,manual,125,carisma,150000,petrol,mitsubishi,no,19.5
297,1590,small car,manual,50,polo,150000,petrol,volkswagen,no,18.83
298,2300,small car,manual,75,twingo,70000,petrol,renault,no,15.92
299,4500,small car,manual,75,twingo,70000,petrol,renault,no,7.92
300,799,small car,manual,60,ka,125000,petrol,ford,yes,21.83
303,700,small car,manual,50,fiesta,150000,petrol,ford,no,24.33
305,1700,limousine,automatic,170,5er,150000,petrol,bmw,no,21.58
306,3500,limousine,manual,140,golf,150000,diesel,volkswagen,no,14.08
309,12500,bus,automatic,224,others,150000,diesel,mercedes_benz,no,11.08
310,9500,station wagon,automatic,140,a3,150000,diesel,audi,no,12.08
312,8600,bus,manual,150,zafira,125000,cng,opel,no,9.92
314,5690,small car,manual,75,a2,100000,petrol,audi,no,16.5
315,8900,bus,manual,102,transporter,150000,diesel,volkswagen,no,19.83
316,3600,suv,manual,70,others,60000,petrol,suzuki,no,21.42
317,3899,cabrio,automatic,61,fortwo,30000,petrol,smart,no,16.33
318,1700,coupe,automatic,270,3er,150000,petrol,bmw,yes,19.0
319,9999,bus,manual,170,touran,150000,diesel,volkswagen,no,11.17
320,490,small car,automatic,75,fiesta,60000,petrol,ford,no,22.92
321,8000,cabrio,automatic,84,others,40000,petrol,smart,no,11.0
322,13300,limousine,manual,143,a4,125000,diesel,audi,no,9.75
323,400,station wagon,manual,99,primera,150000,petrol,nissan,no,20.42
324,5000,bus,manual,116,sharan,150000,diesel,volkswagen,no,16.17
327,1699,coupe,automatic,223,clk,150000,petrol,mercedes_benz,no,20.42
328,750,limousine,manual,116,vectra,150000,petrol,opel,no,20.5
330,1099,small car,manual,68,fiesta,150000,diesel,ford,no,14.67
331,7900,station wagon,manual,105,a3,150000,diesel,audi,no,13.58
332,8450,limousine,automatic,218,x_reihe,150000,diesel,bmw,yes,14.33
335,1600,station wagon,manual,120,primera,150000,diesel,nissan,no,15.58
336,24300,bus,manual,140,sharan,70000,diesel,volkswagen,no,6.08
337,4200,limousine,automatic,140,passat,150000,diesel,volkswagen,no,11.58
338,2850,station wagon,manual,143,3er,150000,petrol,bmw,no,17.0
339,23000,coupe,manual,239,a5,125000,diesel,audi,no,8.83
341,18900,cabrio,manual,200,tt,80000,petrol,audi,no,8.17
342,6500,small car,manual,60,citigo,10000,petrol,skoda,no,4.92
345,6990,suv,manual,141,tucson,100000,petrol,hyundai,no,11.92
346,1500,station wagon,manual,125,a4,150000,petrol,audi,no,22.67
348,12500,station wagon,automatic,140,passat,150000,diesel,volkswagen,no,8.42
350,14900,cabrio,manual,280,others,60000,petrol,nissan,no,13.25
351,1499,small car,manual,75,clio,150000,petrol,renault,no,16.33
352,3000,station wagon,manual,80,fabia,150000,petrol,skoda,yes,11.42
353,1800,small car,manual,102,golf,125000,petrol,volkswagen,yes,14.5
357,450,small car,manual,55,polo,125000,petrol,volkswagen,no,21.42
358,800,limousine,manual,136,accord,150000,petrol,honda,no,21.17
359,2490,station wagon,manual,125,passat,150000,petrol,volkswagen,no,17.08
360,1550,station wagon,manual,105,golf,150000,petrol,volkswagen,no,17.58
361,999,station wagon,manual,101,vectra,150000,petrol,opel,no,18.0
362,17999,suv,automatic,150,rav,80000,diesel,toyota,no,8.67
366,2450,small car,manual,75,a2,150000,diesel,audi,yes,16.33
368,13100,bus,manual,140,touran,80000,petrol,volkswagen,no,7.33
369,4999,station wagon,manual,250,156,150000,petrol,alfa_romeo,no,15.0
370,1000,limousine,manual,192,5er,150000,lpg,bmw,no,27.25
371,390,limousine,manual,90,80,150000,petrol,audi,no,28.58
372,5299,limousine,manual,105,golf,150000,diesel,volkswagen,no,14.92
373,2799,station wagon,manual,101,passat,150000,diesel,volkswagen,no,16.92
374,5699,limousine,manual,77,punto,60000,lpg,fiat,no,10.67
375,18900,station wagon,automatic,235,5er,125000,diesel,bmw,no,10.33
376,3500,limousine,manual,109,a_klasse,150000,diesel,mercedes_benz,no,11.17
377,3800,limousine,manual,122,i_reihe,150000,petrol,hyundai,no,11.67
378,750,small car,manual,58,twingo,150000,petrol,renault,no,16.58
380,190,station wagon,manual,90,laguna,150000,petrol,renault,no,20.33
381,150,coupe,manual,100,3er,150000,petrol,bmw,no,21.17
382,5300,cabrio,automatic,82,roadster,125000,petrol,smart,no,16.0
383,22900,coupe,automatic,170,others,90000,diesel,mercedes_benz,no,7.5
385,2600,limousine,manual,118,3er,150000,petrol,bmw,no,18.08
387,2450,bus,manual,116,sharan,150000,diesel,volkswagen,no,17.58
388,31900,limousine,automatic,275,others,90000,diesel,jaguar,no,8.83
389,1900,station wagon,automatic,116,laguna,150000,lpg,renault,no,16.83
393,1690,others,manual,94,others,150000,diesel,fiat,no,18.42
394,1400,limousine,manual,101,bora,150000,petrol,volkswagen,yes,19.75
395,32900,bus,manual,150,others,5000,diesel,bmw,no,2.25
396,17850,suv,manual,200,kuga,70000,petrol,ford,no,7.42
397,950,limousine,manual,116,147,150000,diesel,alfa_romeo,no,17.58
399,2150,small car,manual,68,c1,150000,petrol,citroen,no,12.33
400,550,small car,manual,60,corsa,150000,petrol,opel,no,20.25
401,2990,cabrio,automatic,147,astra,150000,petrol,opel,no,16.17
402,650,limousine,manual,101,focus,150000,petrol,ford,yes,18.08
403,5799,coupe,manual,150,c4,80000,petrol,citroen,no,9.25
405,2799,small car,manual,68,c1,125000,petrol,citroen,no,11.58
406,9800,limousine,manual,140,a4,150000,diesel,audi,no,10.08
408,1000,small car,manual,169,clio,150000,petrol,renault,yes,16.08
411,16900,bus,manual,105,touran,50000,diesel,volkswagen,no,5.08
412,500,small car,automatic,89,civic,150000,petrol,honda,yes,21.25
413,1990,limousine,manual,75,golf,150000,petrol,volkswagen,no,19.5
414,1500,small car,automatic,90,a_klasse,150000,diesel,mercedes_benz,no,19.0
416,5200,limousine,manual,90,corolla,125000,diesel,toyota,no,13.0
417,2990,station wagon,manual,120,3_reihe,150000,diesel,peugeot,no,14.58
418,1600,small car,manual,75,twingo,150000,petrol,renault,no,15.0
419,5990,cabrio,manual,228,mustang,150000,petrol,ford,no,23.42
420,7499,suv,manual,129,grand,150000,diesel,suzuki,no,11.67
422,2950,suv,manual,120,freelander,150000,petrol,land_rover,no,19.42
425,1999,small car,manual,60,punto,150000,petrol,fiat,no,15.0
426,4200,bus,manual,130,corolla,100000,petrol,toyota,no,15.83
427,1250,small car,manual,50,lupo,150000,petrol,volkswagen,no,19.08
428,8700,small car,manual,86,ibiza,60000,petrol,seat,no,6.25
429,2200,limousine,automatic,286,7er,150000,petrol,bmw,yes,20.25
430,2222,limousine,manual,207,c5,150000,petrol,citroen,no,16.75
433,8300,limousine,manual,170,5er,150000,petrol,bmw,no,13.17
434,7000,coupe,manual,220,others,125000,petrol,alfa_romeo,no,19.92
437,17650,station wagon,automatic,184,cooper,90000,petrol,mini,no,7.83
438,6200,limousine,manual,140,a3,150000,diesel,audi,no,14.33
439,250,small car,manual,54,corsa,150000,petrol,opel,yes,20.67
440,7699,small car,manual,80,polo,70000,petrol,volkswagen,no,9.42
441,6300,bus,automatic,170,touran,150000,diesel,volkswagen,no,10.58
443,7500,bus,manual,90,berlingo,150000,diesel,citroen,no,6.92
444,2490,station wagon,manual,118,3er,150000,petrol,bmw,no,17.25
445,27990,limousine,automatic,220,golf,10000,petrol,volkswagen,no,3.33
446,9000,limousine,automatic,140,mondeo,150000,diesel,ford,no,8.92
447,3500,small car,manual,60,panda,60000,petrol,fiat,no,8.25
448,500,coupe,manual,90,others,150000,petrol,ford,no,18.25
450,2400,limousine,manual,90,a2,150000,diesel,audi,no,14.83
451,950,small car,manual,60,polo,150000,petrol,volkswagen,no,24.42
453,7450,small car,manual,120,fiesta,90000,petrol,ford,no,9.25
454,11000,suv,automatic,286,x_reihe,100000,diesel,bmw,no,11.0
458,5900,cabrio,manual,110,mx_reihe,60000,petrol,mazda,no,14.5
459,3490,small car,manual,69,corsa,150000,diesel,opel,no,13.42
461,1900,station wagon,manual,150,a6,150000,diesel,audi,no,19.92
462,8200,limousine,automatic,150,e_klasse,150000,diesel,mercedes_benz,no,13.25
463,799,station wagon,manual,101,astra,150000,petrol,opel,no,24.0
464,31900,cabrio,manual,170,a5,40000,petrol,audi,no,5.58
465,550,small car,manual,75,civic,150000,petrol,honda,no,25.0
466,550,small car,manual,60,ka,150000,petrol,ford,no,19.5
467,12499,suv,automatic,340,cayenne,150000,petrol,porsche,no,14.83
468,3999,station wagon,automatic,163,passat,150000,diesel,volkswagen,no,15.25
469,9950,limousine,automatic,190,e_klasse,150000,diesel,mercedes_benz,yes,11.33
470,4500,coupe,manual,143,others,125000,petrol,mercedes_benz,no,10.67
471,2100,limousine,manual,75,golf,125000,petrol,volkswagen,no,18.33
472,7100,small car,manual,95,2_reihe,90000,petrol,peugeot,no,9.58
473,4500,small car,manual,75,corsa,125000,diesel,opel,no,11.25
476,3500,cabrio,manual,150,2_reihe,60000,petrol,peugeot,yes,11.58
480,850,coupe,manual,75,astra,150000,petrol,opel,no,18.08
481,18499,cabrio,manual,330,others,30000,petrol,opel,no,10.5
483,17500,station wagon,automatic,163,xc_reihe,125000,diesel,volvo,no,8.42
486,1650,limousine,manual,136,3er,150000,diesel,bmw,no,19.33
487,600,small car,manual,50,arosa,150000,petrol,seat,no,21.75
488,18000,coupe,manual,160,tt,40000,petrol,audi,no,7.25
489,2450,limousine,manual,60,ibiza,70000,petrol,seat,no,19.0
490,1700,small car,manual,68,justy,70000,petrol,subaru,no,19.92
492,7990,limousine,automatic,140,golf,150000,diesel,volkswagen,no,12.42
493,850,limousine,manual,75,golf,150000,petrol,volkswagen,no,24.75
496,4250,cabrio,manual,98,golf,150000,petrol,volkswagen,no,28.42
497,1999,station wagon,automatic,143,e_klasse,150000,diesel,mercedes_benz,no,17.5
499,12800,cabrio,automatic,218,z_reihe,150000,petrol,bmw,no,12.0
501,2000,limousine,manual,125,a_klasse,150000,petrol,mercedes_benz,yes,17.08
503,6800,cabrio,automatic,45,fortwo,80000,diesel,smart,no,11.58
505,7900,bus,manual,140,sharan,150000,diesel,volkswagen,no,11.58
506,2200,others,manual,109,others,150000,diesel,volkswagen,no,17.08
508,3350,suv,automatic,170,santa,150000,lpg,hyundai,no,15.67
509,850,bus,manual,86,transit,150000,diesel,ford,no,13.67
510,7999,station wagon,manual,131,a4,150000,diesel,audi,no,14.33
511,2990,limousine,manual,102,golf,125000,petrol,volkswagen,yes,13.5
513,750,small car,manual,75,polo,150000,petrol,volkswagen,no,22.5
514,6499,limousine,manual,140,golf,150000,diesel,volkswagen,no,14.0
515,9999,limousine,manual,143,3er,150000,diesel,bmw,no,7.08
516,4200,station wagon,manual,116,3er,150000,diesel,bmw,no,13.08
517,10890,limousine,manual,102,octavia,30000,petrol,skoda,no,6.17
518,850,small car,automatic,75,corsa,150000,petrol,opel,yes,15.17
519,1200,limousine,manual,101,astra,150000,petrol,opel,no,20.75
522,3400,station wagon,manual,155,mondeo,150000,diesel,ford,yes,13.67
523,5000,cabrio,manual,192,3er,150000,petrol,bmw,no,17.58
524,24999,coupe,automatic,286,3er,150000,diesel,bmw,no,8.5
525,300,small car,manual,75,polo,150000,petrol,volkswagen,no,25.0
526,3800,limousine,automatic,101,focus,50000,petrol,ford,no,13.67
527,9750,limousine,manual,150,qashqai,150000,diesel,nissan,no,10.17
528,21990,suv,automatic,500,cayenne,150000,petrol,porsche,no,11.25
531,3299,suv,automatic,223,grand,150000,petrol,jeep,no,16.17
532,999,cabrio,manual,75,astra,150000,petrol,opel,no,20.08
534,600,limousine,automatic,170,others,150000,petrol,volvo,yes,19.08
535,999,station wagon,manual,131,passat,150000,diesel,volkswagen,yes,14.25
536,750,station wagon,manual,66,passat,150000,petrol,volkswagen,no,22.75
540,7449,limousine,manual,60,up,70000,petrol,volkswagen,no,5.5
541,1450,small car,manual,69,ka,100000,petrol,ford,no,10.42
542,1499,small car,manual,75,twingo,150000,petrol,renault,no,15.75
543,4850,limousine,manual,75,golf,150000,petrol,volkswagen,no,13.83
544,10999,limousine,manual,220,c_klasse,150000,lpg,mercedes_benz,no,17.17
545,749,small car,manual,60,corsa,150000,petrol,opel,no,21.08
546,13999,limousine,manual,86,golf,20000,petrol,volkswagen,no,4.92
547,7000,limousine,manual,110,laguna,90000,petrol,renault,no,8.33
548,3390,station wagon,manual,95,a_klasse,150000,petrol,mercedes_benz,no,15.0
549,16350,suv,manual,110,yeti,50000,diesel,skoda,no,5.25
552,27800,suv,manual,160,tiguan,30000,petrol,volkswagen,no,4.5
553,7250,suv,manual,140,tucson,125000,diesel,hyundai,no,11.75
554,6200,limousine,manual,136,a_klasse,80000,petrol,mercedes_benz,no,11.75
555,5200,small car,manual,101,panda,80000,petrol,fiat,no,11.92
558,11500,limousine,manual,140,astra,20000,petrol,opel,no,6.33
560,3490,small car,manual,80,punto,125000,petrol,fiat,no,16.58
561,3900,bus,automatic,111,modus,80000,petrol,renault,no,13.83
562,10999,limousine,manual,122,1er,100000,petrol,bmw,no,8.25
564,2800,coupe,manual,192,rx_reihe,150000,petrol,mazda,no,14.17
565,11100,limousine,manual,143,1er,150000,diesel,bmw,no,9.08
566,1500,limousine,manual,90,golf,150000,petrol,volkswagen,no,29.5
570,6200,bus,manual,110,transit,150000,diesel,ford,no,10.42
573,16999,bus,manual,163,sprinter,150000,diesel,mercedes_benz,no,6.08
574,7500,station wagon,automatic,150,vectra,125000,diesel,opel,no,10.83
575,4999,small car,manual,95,forfour,100000,petrol,smart,no,12.5
577,1000,suv,automatic,185,cherokee,150000,petrol,jeep,no,25.75
579,3900,station wagon,manual,140,a6,150000,diesel,audi,no,21.25
